Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format,Spatial Guid
Rear Blue In,Subunit,Render,Realtek(R) Audio,,,,,No,,0.0%,-34.50 dB,12.00 dB,0.03 dB,2,"-34.50 dB, -34.50 dB","0.0%, 0.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/0002000a,Realtek(R) Audio\Subunit\Rear Blue In,,,,,,,
Rear Green In,Subunit,Render,Realtek(R) Audio,,,,,No,,0.0%,-34.50 dB,12.00 dB,0.03 dB,2,"-34.50 dB, -34.50 dB","0.0%, 0.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020004,Realtek(R) Audio\Subunit\Rear Green In,,,,,,,
Rear Pink In,Subunit,Render,Realtek(R) Audio,,,,,Yes,,0.0%,-34.50 dB,12.00 dB,0.03 dB,2,"-34.50 dB, -34.50 dB","0.0%, 0.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/00020006,Realtek(R) Audio\Subunit\Rear Pink In,,,,,,,
Side,Subunit,Render,Realtek(R) Audio,,,,,No,,100.0%,-64.00 dB,0.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/0002000d,Realtek(R) Audio\Subunit\Side,,,,,,,
Subwoofer,Subunit,Render,Realtek(R) Audio,,,,,No,,100.0%,-64.00 dB,0.00 dB,0.03 dB,1,0.00 dB,100.0%,{2}.\\?\hdaudio#func_01&ven_10ec&dev_0892&subsys_14629c83&rev_1003#4&3a27a3f1&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\singlelineouttopo/0002000f,Realtek(R) Audio\Subunit\Subwoofer,,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{863b1d4c-4f13-4583-9827-1cdf8ea55c9e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{331ce45a-d58a-49ca-9f04-7eb4311e3a04}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,HD Pro Webcam C920,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{1692c64d-a1fe-4618-b627-77872bed2ae9}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,HD Pro Webcam C920\Application\System Sounds,,,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{de4ae6cd-7e80-4163-b993-4e5d3212bd17}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{bdb1b891-8850-4959-b808-7359535cabdd}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{1756b93d-11e0-4b98-b22f-ceefc76ea0b5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9e18dfa9-7bf6-46bd-9a5e-ed3e703f13cf}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Capture,fifine  Microphone,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{89f2ae28-3412-4118-b863-3fbbe242a79c}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,fifine  Microphone\Application\System Sounds,,,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{226dc1a1-8133-42bd-b2a1-e56032362647}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,,
System Sounds,Application,Render,fifine  Microphone,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9114bc3e-e5a5-41f2-8d01-1f5b4857114c}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,fifine  Microphone\Application\System Sounds,,,,,,,
Динамики,Subunit,Capture,fifine  Microphone,,,,,No,,36.0%,-40.00 dB,-5.00 dB,0.06 dB,2,"-13.60 dB, -13.60 dB","36.0%, 36.0%",{2}.\\?\usb#vid_3142&pid_00a8&mi_00#6&32d5734a&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020006,fifine  Microphone\Subunit\Динамики,,,,,,,
Динамики,Device,Render,Realtek(R) Audio,Render,Render,Render,Active,No,-6.41 dB,65.1%,-64.00 dB,0.00 dB,0.03 dB,2,"-6.41 dB, -6.41 dB","65.1%, 65.1%",{0.0.0.00000000}.{bdb1b891-8850-4959-b808-7359535cabdd},Realtek(R) Audio\Device\Динамики\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{bdb1b891-8850-4959-b808-7359535cabdd},0x3 0x3 0x3,"2 Channel, 24 bit, 48000 Hz",
Динамики,Subunit,Capture,fifine  Microphone,,,,,No,,44.3%,-30.00 dB,14.00 dB,0.06 dB,2,"7.00 dB, 7.00 dB","44.3%, 44.3%",{2}.\\?\usb#vid_3142&pid_00a8&mi_00#6&32d5734a&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/0002000a,fifine  Microphone\Subunit\Динамики,,,,,,,
Запись,Subunit,Capture,fifine  Microphone,,,,,Yes,,31.1%,0.00 dB,7.00 dB,0.06 dB,2,"2.83 dB, 2.83 dB","31.1%, 31.1%",{2}.\\?\usb#vid_3142&pid_00a8&mi_00#6&32d5734a&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020008,fifine  Microphone\Subunit\Запись,,,,,,,
Запись,Subunit,Capture,HD Pro Webcam C920,,,,,No,,37.8%,20.00 dB,50.00 dB,0.50 dB,1,42.00 dB,37.8%,{2}.\\?\usb#vid_046d&pid_0892&mi_02#6&3764e9a2&0&0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020003,HD Pro Webcam C920\Subunit\Запись,,,,,,,
Микрофон,Device,Capture,fifine  Microphone,Capture,Capture,Capture,Active,Yes,2.83 dB,46.0%,0.00 dB,7.00 dB,0.06 dB,2,"2.83 dB, 2.83 dB","46.0%, 46.0%",{0.0.1.00000000}.{89f2ae28-3412-4118-b863-3fbbe242a79c},fifine  Microphone\Device\Микрофон\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{89f2ae28-3412-4118-b863-3fbbe242a79c},,"2 Channel, 16 bit, 48000 Hz",
Микрофон,Device,Capture,HD Pro Webcam C920,,,,Active,No,42.00 dB,88.8%,20.00 dB,50.00 dB,0.50 dB,1,42.00 dB,88.8%,{0.0.1.00000000}.{1692c64d-a1fe-4618-b627-77872bed2ae9},HD Pro Webcam C920\Device\Микрофон\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{1692c64d-a1fe-4618-b627-77872bed2ae9},,"2 Channel, 16 bit, 16000 Hz",
Операционная система Microsoft® Windows®,Application,Capture,fifine  Microphone,,,,Active,Yes,,46.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{89f2ae28-3412-4118-b863-3fbbe242a79c}|\Device\HarddiskVolume5\Windows\ImmersiveControlPanel\SystemSettings.exe%b{00000000-0000-0000-0000-000000000000}|1%b14388,fifine  Microphone\Application\Операционная система Microsoft® Windows®,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,14388,,,,,
